id,full text
nf105.jpg,";NutritionalnfoinfomatiPer""1009||Energya_524KealCarbohydraty62g(OFwichSugay,53gProtein:eyFan_ty(0irhichSaated)iSonnTg‘Approximate...val"
nf131.jpg,
nf157.jpg,RITIONALINFORMATION(ApproximateValues)
nf37.jpg,fNUTRITIONALFACTSPER100ml(APPROXIMATE)Energy53kcalProtein0.29Carbohydrate13.49NotusolFruitSugars69AddedSugar74gFat09Calcium7mgIron0.25mgVitamin€18mg
nf47.jpg,"NutritionFactspercantainer2PiTotalFat‘2""igaChotesterolO™Sedium7TotalCarbohydrate215eecay,Fiber3qSudqarsOgtledesUgAndedSugarsoO.Protein2"""
nf54.jpg,alInformation
nf65.jpg,Nutritional’InformationPer100gServingSizeMgServingperpack:8edPer100gPerservingEnergy406.6kcal365.9kcalESFat15g13qCarbohydratea9.11g“80.19DietaryFiber391g350gProtein76g68g
nf79.jpg,NUTRITIONFACTS?Carbohydratesofwhichsugars
nf80.jpg,*NotrtionalInformationper1009product(approx..)TanayesoortanSariatastne(occaayacswymetresntact
nf90.jpg,NutritionFactsSerningSize:2Cockies(ApproxPCa)ServingsPerPack:About7-8DeAmount!perServingEnergyValue97.2kcalTotalFatB99SaturatedFat2/79MonoUnsaturatedFat0.9gPolyUnsaturatedFatO18gTranstatogTotalMineralContentO4gGaleiam100mgCarbohydrates99TotalSugar4aOtwhichAddedRefinedWhiteSugarosProte24ag
nf97.jpg,"NUTRITIONFACTS(Approx.per100g)""Catories367KalCalonesfromFat117KealcreTotalFat13952%SaturatedFat5369onounsaluiratedFat4659PolyUnsaturatedFat1.989TransFat0gCholesterol65mgSodium147mgTotalCarbohydrate5791%DietaryFibre1gSugars46gProtein3g5%VitaminA4881UVitaminC3mgCalcium19mgIron0.3mg"
