id,full text
nf37.jpg,Nutritionalfactsper100ml(approximate)energy53kcalprotein0.2gcarbohydrate13.2gnaturalfruitsugars6gaddedsugar7.4gfat0gcalcium7mgiron0.25mgvitaminc18mg
nf47.jpg,Nutrition facts4 servings per containerServing size 2 pieces (58g)Amount per servingCalories 220% daily value*Total fat 12g 15%Saturated fat 1g 5%Trans fat 0gCholesterol 0mg 0%Sodium 330mg 14%Total carbohydrate 21g 8%Dietary fiber 3g 11%Total sugars 0gIncludes 0g added sugars 0%Protein 8gVitamin d (0mcg) 0% iron (0.9mg) 4%Calcium (38mg) 2% potassium (182mg) 4%
nf54.jpg,Nutritional information* Quality per 100gEnergy 470kcalProtein 6.4gFat – total 21gsaturated fat 9.4gmonosaturated fat 4.7gpolysaturated fat 1.3gtrans fat 0gcholesterol 0mgcarbohydrate 63gsugars 25g
nf65.jpg,Nutritional*Information per 100 gServing size : 90gServing per pack : 8Per 100 g per servingEnergy 406.6 kcal 365.9 kcalFat 1.5 g 1.3 gCarbohydrate 89.11 g 80.19 gDietary fiber 3.91 g 3.50 gProtein 7.6 g 6.8 g
nf79.jpg,Nutrition factsPer 100gEnergy 489 kcalProtein 8.9gCarbohydrate 65.1gOf which sugars 38.4gFat 21.4g
nf80.jpg,*nutritional information per 100 g product (approx…)Carbohydrates 67.2 g**sugars 22.4 gProteins 6.9 gTotal fat 22.8 gTrans fatty acids not more than 0.2 gSaturated fatty acids not more than 14.4 gMono unsaturated fatty acids 6.6 gPoly unsaturated fatty acids 1.9gEnergy 502 kcal
nf90.jpg,Nutrition factsServing size : 2 cookies (approx 20g)Serving per pack: about 7-8Amount per servingEnergy value 97.2 kcalTotal fat 3.9 gSaturated fat 2.7gMono unsaturated fat 0.9 gPoly unsaturated fat 0.15 gTransfat 0 gTotal mineral content 0.4 gCalcium 100 mgCarbohydrates 9 gTotal sugar 4 gOf which added refined whitesugar 0 gProtein 2.4 g
nf97.jpg,Nutrition facts(approx. per 100g)*Calories 357 kcal calories from fat 117kcal%daily value**Total fat 13g 52%Saturated fat 5.36gMono unsaturated fat 4.65gPoly unsaturated fat 1.98gTrans fat 0gCholesterol 65 mgSodium 147 mgTotal carbohydrate 57g 11%Dietary fiber 1gSugars 46gProtein 3g 5%Vitamin a 388 iu	vitamin c 3mgCalcium 19mg		iron 0.3 mg
nf105.jpg,Nutritional information* per 100gEnergy 524 kcalCarbohydrate 62g(of which sugar) 53gProtein 6gFat 28g(of which saturated) 7.84g*approximate
nf131.jpg,Nutrition facts(approximate)Per 100 gramsEnergy – 900 kcal.Carbohydrates – 0g.Cholesterol – 0mg.Saturated fat – 21 g.Mono unsaturated fat – 37 g.Poly unsaturated fat – 42 g.Transfat – 0 g.Protein – 0 g.Sodium – 0 g.Sugars – 0 g.
nf157.jpg,Nutritional information(approximate values)Per 100gEnergy 469.5 kcalProtein 7.0 gTotal carbohydrate 71.0 gSugars 3.5g Total fat 17.5 gSaturated fat 8.0 gTrans fat 0.1 g
